8	пор	_	_	_	_	_	Translit=por
9	как	_	_	_	_	_	Translit=kak
10	он	_	_	_	_	_	Translit=on
11	себя	_	_	_	_	_	Translit=syebya
12	помнил	_	_	_	_	_	Translit=pomnil
13	,	_	_	_	_	_	Translit=,
14	уже	_	_	_	_	_	Translit=uzhye
15	не	_	_	_	_	_	Translit=nye
16	возникало	_	_	_	_	_	Translit=voznikalo
17	в	_	_	_	_	_	Translit=v
18	этом	_	_	_	_	_	Translit=etom
19	необходимости	_	_	_	_	_	Translit=nyeobkhodimosti
20	,	_	_	_	_	_	Translit=,
21	и	_	_	_	_	_	Translit=i
22	был	_	_	_	_	_	Translit=byl
23	он	_	_	_	_	_	Translit=on
24	скорее	_	_	_	_	_	Translit=skoryeye
25	однофамильцем	_	_	_	_	_	Translit=odnofamil'tsyem
26	,	_	_	_	_	_	Translit=,
27	чем	_	_	_	_	_	Translit=chyem
28	потомком	_	_	_	_	_	Translit=potomkom
29	.	_	_	_	_	_	Translit=.
1	Он	_	_	_	_	_	Translit=On
2	был	_	_	_	_	_	Translit=byl
3	Лева	_	_	_	_	_	Translit=Lyeva
4	.	_	_	_	_	_	Translit=.
1	В	_	_	_	_	_	Translit=V
2	младенчестве	_	_	_	_	_	Translit=mladyenchyestvye
3	,	_	_	_	_	_	Translit=,
4	правда	_	_	_	_	_	Translit=pravda
5	(	_	_	_	_	_	Translit=(
6	Лева	_	_	_	_	_	Translit=Lyeva
7	был	_	_	_	_	_	Translit=byl
8	зачат	_	_	_	_	_	Translit=zachat
9	в	_	_	_	_	_	Translit=v
10	роковом	_	_	_	_	_	Translit=rokovom
11	году	_	_	_	_	_	Translit=godu
12	)	_	_	_	_	_	Translit=)
13	,	_	_	_	_	_	Translit=,
14	случились	_	_	_	_	_	Translit=sluchilis'
15	с	_	_	_	_	_	Translit=s
16	ним	_	_	_	_	_	Translit=nim
17	,	_	_	_	_	_	Translit=,
18	вернее	_	_	_	_	_	Translit=vyernyeye
19	с	_	_	_	_	_	Translit=s
20	его	_	_	_	_	_	Translit=yego
21	родителями	_	_	_	_	_	Translit=rodityelyami
22	,	_	_	_	_	_	Translit=,
23	кой-какие	_	_	_	_	_	Translit=koy-kakiye
24	неприятные	_	_	_	_	_	Translit=nyepriyatnyye
25	перемещения	_	_	_	_	_	Translit=pyeryemyeshchyeniya
26	в	_	_	_	_	_	Translit=v
27	сторону	_	_	_	_	_	Translit=storonu
28	их	_	_	_	_	_	Translit=ikh
29	замечательного	_	_	_	_	_	Translit=zamyechatyel'nogo
30	предка	_	_	_	_	_	Translit=pryedka
31	,	_	_	_	_	_	Translit=,
32	так	_	_	_	_	_	Translit=tak
33	сказать	_	_	_	_	_	Translit=skazat'
34	,	_	_	_	_	_	Translit=,
35	"	_	_	_	_	_	Translit="
36	во	_	_	_	_	_	Translit=vo
37	глубину	_	_	_	_	_	Translit=glubinu
38	сибирских	_	_	_	_	_	Translit=sibirskikh
39	руд	_	_	_	_	_	Translit=rud
40	"	_	_	_	_	_	Translit="
41	.	_	_	_	_	_	Translit=.
